CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0065,0.9999997160883108,C0156,0.9999997130551376,C0102,0.9999997125859631
C0002,C0109,0.9999992830555549,C0176,0.999999117365942,C0136,0.9999990981040264
C0003,C0181,0.9999994647226975,C0075,0.9999994561274569,C0136,0.9999994422971479
C0004,C0165,0.9999997774559467,C0175,0.9999997547061938,C0169,0.9999997071578433
C0005,C0093,0.9999995310373363,C0028,0.9999995104652555,C0143,0.9999995016835649
C0006,C0171,0.9999998817755833,C0013,0.9999998148762749,C0188,0.9999998077283435
C0007,C0021,0.9999996887134077,C0138,0.9999996866542719,C0054,0.9999996713652689
C0008,C0165,0.9999996685770296,C0075,0.9999995869327638,C0160,0.9999995832385308
C0009,C0105,0.9999978240257053,C0179,0.9999977417647672,C0100,0.9999976673444416
C0010,C0091,0.9999988458440039,C0049,0.9999985016605897,C0111,0.9999983419761485
C0011,C0087,0.9999997619887078,C0163,0.9999997217682441,C0102,0.9999997198799164
C0012,C0163,0.9999998229351492,C0101,0.9999998107453926,C0102,0.9999998065452472
C0013,C0099,0.9999998554810018,C0082,0.9999998404687188,C0054,0.9999998399206024
C0014,C0010,0.9999908798752287,C0062,0.9999905330202866,C0073,0.9999901918219513
C0015,C0139,0.9999990174144472,C0065,0.9999990099632582,C0026,0.999998922579423
C0016,C0066,0.9999997749565029,C0141,0.9999997747304858,C0096,0.9999997598692401
C0017,C0165,0.99999972160349,C0175,0.9999996993326018,C0124,0.9999996788479345
C0018,C0065,0.9999998279495989,C0068,0.9999998097556677,C0156,0.9999997971618623
C0019,C0073,0.9999992243876368,C0084,0.9999992084098027,C0075,0.9999991694544001
C0020,C0026,0.9999992288552875,C0117,0.9999991715169414,C0059,0.9999990011326017
